year,pk,dist_total,barriere_horaire,d_plus_total,d_moins_total,dist_secteur,dp_tot_secteur,dm_tot_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm
2025,Départ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,Col de Voza,14.6,,977.0,354.0,14.6,977.0,354.0,0.0,66.91780821917808,24.246575342465754,0.061533296801022104,0.004214609369933021
2025,St-Gervais,23.1,4.25,1121.0,1353.0,8.500000000000002,144.0,999.0,14.6,16.941176470588232,117.52941176470586,0.029992196381287778,0.0035284936919162085
2025,Les Contamines,32.7,6.25,1643.0,1524.0,9.600000000000001,522.0,171.0,23.1,54.37499999999999,17.812499999999996,0.043284095956914674,0.004508759995511945
2025,La Balme,41.3,8.25,2247.0,1579.0,8.599999999999994,604.0,55.0,32.7,70.23255813953493,6.395348837209307,0.04641148855374514,0.005396684715551764
2025,Bonhomme,47.2,,3055.0,1649.0,5.900000000000006,808.0,70.0,41.3,136.94915254237276,11.864406779661005,0.04848579826375799,0.008217931909111516
2025,Chapieux,52.5,11.5,3055.0,2552.0,5.299999999999997,0.0,903.0,47.2,0.0,170.37735849056614,0.02394208261575402,0.004517374078444158
2025,Col Seigne,63.2,,4127.0,2659.0,10.700000000000003,1072.0,107.0,52.5,100.18691588785045,9.999999999999998,0.06858243382746629,0.00640957325490339
2025,Lac Combal,68.1,16.25,4146.0,3228.0,4.8999999999999915,19.0,569.0,63.2,3.87755102040817,116.12244897959204,0.019383244126219588,0.003955764107391759
2025,Mt-Favre,72.1,,4625.0,3233.0,4.0,479.0,5.0,68.1,119.75,1.25,0.03185672491295257,0.007964181228238143
2025,Checrouit,76.7,,4650.0,3738.0,4.6000000000000085,25.0,505.0,72.1,5.434782608695642,109.78260869565197,0.020422632677751327,0.004439702756032889
2025,Courmayeur Sortie,81.6,19.5,4693.0,4546.0,4.8999999999999915,43.0,808.0,76.7,8.775510204081648,164.89795918367375,0.02567033238485386,0.005238843343847736
2025,Bertone,87.0,,5500.0,4556.0,5.400000000000006,807.0,10.0,81.6,149.4444444444443,1.8518518518518499,0.04346910884548271,0.008049834971385679
2025,Bonatti,94.6,,5818.0,4835.0,7.599999999999994,318.0,279.0,87.0,41.842105263157926,36.7105263157895,0.04268545862840658,0.005616507714264028
2025,Arnouvaz,99.9,24.5,5949.0,5216.0,5.300000000000011,131.0,381.0,94.6,24.716981132075418,71.88679245283004,0.028750275506016783,0.005424580284154099
2025,Col Ferret,104.5,,6716.0,5222.0,4.599999999999994,767.0,6.0,99.9,166.73913043478282,1.304347826086958,0.04332395853265404,0.009418251854924804
2025,La Fouly,114.5,28.75,6808.0,6249.0,10.0,92.0,1027.0,104.5,9.2,102.7,0.04821104514659057,0.004821104514659056
2025,Champex-Lac,128.3,32.75,7329.0,6891.0,13.800000000000011,521.0,642.0,114.5,37.75362318840577,46.521739130434746,0.07304947293034476,0.005293440067416283
2025,La Giète,139.8,,8137.0,7294.0,11.5,808.0,403.0,128.3,70.26086956521739,35.04347826086956,0.07507272130378191,0.0065280627220679925
2025,Trient,144.9,38.25,8208.0,7944.0,5.099999999999994,71.0,650.0,139.8,13.921568627450997,127.450980392157,0.02691813163533876,0.0052780650265370176
2025,Tseppes,148.9,,8862.0,7962.0,4.0,654.0,18.0,144.9,163.5,4.5,0.036886709482734134,0.009221677370683534
2025,Vallorcine,157.0,41.5,9031.0,8809.0,8.099999999999994,169.0,847.0,148.9,20.864197530864214,104.56790123456797,0.0460800101553637,0.0056888901426374976
2025,La Flégère,168.3,45.0,9982.0,9126.0,11.300000000000011,951.0,317.0,157.0,84.15929203539814,28.053097345132716,0.08377134566862901,0.0074133934220025595
2025,Chamonix,175.4,46.75,9985.0,9984.0,7.099999999999994,3.0,858.0,168.3,0.42253521126760596,120.84507042253531,0.03221743566293193,0.004537666994779148
