checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
St-Gervais,21677,962,1198,21.677,962,1198,8.488999999999999,157.0,1014.0,13.188,18.494522323006244,119.44869831546708,0.03202502508410552,0.0037725321102727674,2024
Bertone,88380,5372,4418,88.38,5372,4418,5.439999999999998,830.0,20.0,82.94,152.57352941176478,3.6764705882352957,0.04673316413858232,0.008590655172533518,2024
La Giète,140989,8004,7163,140.989,8004,7163,11.349999999999994,790.0,385.0,129.639,69.60352422907492,33.920704845814996,0.08195124830313402,0.007220374299835601,2024
Bonatti,95962,5655,4663,95.962,5655,4663,7.582000000000008,283.0,245.0,88.38,37.32524399894483,32.31337378000524,0.044702827126246826,0.005895914946748454,2024
La Peule,109461,6525,5508,109.461,6525,5508,3.620999999999995,0.0,466.0,105.84,0.0,128.69373101353236,0.017045387475653605,0.004707370194878108,2024
Tseppes,150189,8749,7832,150.189,8749,7832,4.0,668.0,10.0,146.189,167.0,2.5,0.04047689311219974,0.010119223278049936,2024
Arnouvaz,101238,5776,5042,101.238,5776,5042,5.275999999999996,121.0,379.0,95.962,22.934040940106158,71.83472327520855,0.029191996694800243,0.005532978903487541,2024
La Flégère,169619,9904,9070,169.619,9904,9070,11.306999999999988,1009.0,391.0,158.312,89.23675599186355,34.58034845670827,0.09501268960632703,0.008402997223518805,2024
Chapieux,51099,2793,2281,51.099,2793,2281,5.287999999999997,0.0,893.0,45.811,0.0,168.87291981845698,0.024954258395797645,0.004719035248827092,2024
Trient,146189,8081,7822,146.189,8081,7822,5.199999999999989,77.0,659.0,140.989,14.80769230769234,126.73076923076951,0.03930826890161131,0.007559282481079114,2024
Col Seigne,61886,3815,2355,61.886,3815,2355,10.787000000000006,1022.0,74.0,51.099,94.74367293964953,6.860109390933527,0.07330460957327511,0.006795643790977572,2024
Champex,129639,7214,6778,129.639,7214,6778,13.820000000000007,595.0,711.0,115.819,43.05354558610707,51.447178002894326,0.08721005725078207,0.0063104238242244585,2024
Col Ferret,105840,6525,5042,105.84,6525,5042,4.602000000000004,749.0,0.0,101.238,162.7553237722728,0.0,0.04838576403234371,0.010514073018762206,2024
Bonhomme,45811,2793,1388,45.811,2793,1388,5.8260000000000005,779.0,40.0,39.985,133.71095090971505,6.865774116031582,0.049861299651773605,0.008558410513521044,2024
Chamonix,176607,10019,10021,176.607,10019,10021,6.9879999999999995,115.0,951.0,169.619,16.456783056668577,136.090440755581,0.036959216195478956,0.005288954807595729,2024
La Balme,39985,2014,1348,39.985,2014,1348,4.374000000000002,500.0,0.0,35.611,114.31184270690437,0.0,0.031245942277046558,0.007143562477605519,2024
Lac Combal,69212,4080,3164,69.212,4080,3164,7.3260000000000005,265.0,809.0,61.886,36.17253617253617,110.42861042861043,0.04466741427138054,0.006097108145151588,2024
Col  Voza,13188,805,184,13.188,805,184,13.188,805.0,184.0,0.0,61.04033970276008,13.952077646345161,0.059115859056837625,0.004482549215714105,2024
Mt-Favre,73218,4542,3175,73.218,4542,3175,4.006,462.0,11.0,69.212,115.32700948577134,2.7458811782326507,0.03502331346278699,0.008742714294255364,2024
La Fouly,115819,6619,6067,115.819,6619,6067,6.358000000000004,94.0,559.0,109.461,14.784523435042457,87.92072978924185,0.03489346632827718,0.005488119900641264,2024
Contamines,31330,1443,1338,31.33,1443,1338,9.652999999999999,481.0,140.0,21.677,49.829068683310894,14.503263234227703,0.04793129906155934,0.0049654303389163315,2024
