Checkpoint,Type de tronçon,Quart de course
Départ,Non Catégorisé,Premier quart
Col de Voza,Non Catégorisé,Premier quart
Saint-Gervais,Descente,Premier quart
Les Contamines Montjoie,Montée,Premier quart
La Balme,Montée,Premier quart
Refuge de la Croix du Bonhomme,Montée,Premier quart
Les Chapieux,Descente,Deuxième quart
Col de la Seigne,Montée,Deuxième quart
Lac Combal,Non Catégorisé,Deuxième quart
Arête du Mont-Favre,Montée,Deuxième quart
Checrouit - Maison Vieille,Descente,Deuxième quart
Courmayeur - Mountain Sport Center Entrée,Descente,Deuxième quart
Courmayeur - Mountain Sport Center Sortie,Checkpoint,Deuxième quart
Refuge Bertone,Montée,Deuxième quart
Refuge Bonatti,Non Catégorisé,Troisième quart
Arnouvaz,Non Catégorisé,Troisième quart
Grand Col Ferret,Montée,Troisième quart
La Fouly,Descente,Troisième quart
Champex-Lac,Non Catégorisé,Troisième quart
La Giète,Non Catégorisé,Quatrième quart
Trient,Descente,Quatrième quart
Les Tseppes,Montée,Quatrième quart
Vallorcine Entrée,Descente,Quatrième quart
Vallorcine Sortie,Checkpoint,Quatrième quart
La Flégère,Non Catégorisé,Quatrième quart
Chamonix,Descente,Quatrième quart
