cp_id,checkpoint,distance_cum_m,altitude_m,dplus_cum_m,dmoins_cum_m,ouverture,fermeture,partiel_km,pointage_electronique,sac_de_rechange,assistance_personnelle,ravitaillement,soupe,repas_chaud,medecin,infirmier,kine,podologue,secouriste,osteopathe
DEP, ST Pierre Ravine Blanche,0.0,2,0,0,Jeudi 18h00,Jeudi 22h00,0.0,O,,Non,,,,,,,,,
CP1, Domaine Vidot,14.0,649,662,15,Jeudi 22h45,Vendredi 1h30,14.0,O,,Non,X,,,,,,,,
CP2, Notre Dame de la Paix - École,33.3,1683,2057,376,Vendredi 0h30,Vendredi 7h00,19.3,O,,Non,X,,,,,,,,
CP3, Parking aire Nez de Bœuf,45.3,2018,2702,686,Vendredi 1h45,Vendredi 10h15,12.0,O,,Non,,,,,,,,,
CP4, Mare à Boue,55.6,1602,2773,1173,Vendredi 2h45,Vendredi 12h30,10.3,O,,Non,,,,,,,,,
CP5, Coteau Kerveguen,65.1,2184,3452,1270,,,9.5,X,,Non,X,,,,,,,,
CP6, Croisée Coteau Kerveguen,67.7,2487,3755,1270,,,2.6,X,,Non,,,,,,,,,
CP7, Le Bloc,71.7,1384,3755,2373,,,4.0,X,,Non,,,,,,,,,
CP8, Plateau des Chênes,73.7,1387,3896,2511,,,2.0,X,,Non,,,,,,,,,
BV1, Cilaos Stade,76.0,1208,3900,2694,Vendredi 6h00,Vendredi 20h00,2.3,O,,Non,X,,,,,,,,
CP9, Début sentier Taïbit,82.6,1254,4384,3132,Vendredi 7h00,Vendredi 22h45,6.6,X,,Non,,,,,,,,,
CP10, Marla,88.5,1616,5224,3610,Vendredi 8h00,,5.9,O,,Non,X,,,,,,,,
CP11, Plaine des Merles,95.0,1808,5721,3912,Vendredi 9h15,Samedi 5h30,6.5,X,,Non,,,,,,,,,
CP12, Départ Sentier Scout,97.2,1635,5744,4110,Vendredi 9h30,Samedi 6h30,2.2,O,,Non,,,,,,,,,
CP13, Aurère,105.7,913,6012,5103,Vendredi 10h15,Samedi 10h15,8.5,O,,Non,X,,,,,,,,
CP14, Passerelle Bras d'Oussy,109.6,369,6062,5694,,,3.9,X,,Non,,,,,,,,,
CP15, Ilet des Orangers - Ecole,115.1,979,6893,5915,,,5.5,O,,Non,,,,,,,,,
PR11, Ti Col Maïdo,121.2,2025,8042,6018,,,6.1,O,,Non,X,,,,,,,,
CP16, Maïdo - Tête Dure,122.8,1944,8049,6106,Vendredi 13h45,Samedi 20h15,1.6,X,,Non,,,,,,,,,
BV2, Ilet Savannah,139.7,126,8090,7965,Vendredi 15h15,Samedi 23h45,16.9,O,,Non,X,,,,,,,,
CP17, Chemin Ratinaud - Kalla,147.0,445,8727,8284,Vendredi 16h15,Dimanche 2h30,7.3,X,,Non,,,,,,,,,
CP18, La Possession - Ecole Evariste de Parny,155.0,3,8903,8899,Vendredi 17h45,Dimanche 6h00,8.0,O,,Non,X,,,,,,,,
CP19, Grande Chaloupe,162.2,10,9260,9254,Vendredi 18h45,Dimanche 8h30,7.2,O,,Non,,,,,,,,,
PR13, Saint Bernard - Les Bambous,166.7,454,9732,9280,,,4.5,X,,Non,,,,,,,,,
CP20, Colorado,171.6,682,10088,9408,Vendredi 20h00,Dimanche 13h30,4.9,O,,Non,X,,,,,,,,
PR14, Belvédère de La Vigie,175.6,347,10098,9753,,,4.0,X,,Non,,,,,,,,,
ARR, La Redoute,178.6,49,10122,10075,Vendredi 20h45,Dimanche 16h00,7.0,O,,Non,,,,,,,,,
