checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Arrivée,80800,3433,3398,,80.8,3433,3398,2.8999999999999915,26.0,467.0,77.9,8.965517241379336,161.03448275862115,0.04345322234437987,0.014983869773924137,2024
Peyreleau,22800,701,637,4.198611111111111,22.8,701,637,14.600000000000001,188.0,589.0,8.2,12.876712328767121,40.342465753424655,0.1396436486745895,0.009564633470862293,2024
Cade,73300,3082,2607,,73.3,3082,2607,3.200000000000003,487.0,18.0,70.1,152.18749999999986,5.624999999999995,0.07193340662792523,0.022479189571226615,2024
La Roque,47900,1657,1617,,47.9,1657,1617,4.0,5.0,443.0,43.9,1.25,110.75,0.0420745859728112,0.0105186464932028,2024
St Andrée,36300,1388,878,6.698611111111111,36.3,1388,878,7.399999999999999,164.0,191.0,28.9,22.162162162162165,25.810810810810814,0.07294557003996298,0.009857509464859865,2024
P10,8200,513,48,,8.2,513,48,8.2,513.0,48.0,0.0,62.560975609756106,5.853658536585367,0.09472453449208595,0.011551772499034874,2024
Mas de Bru,64600,2544,2155,12.948611111111113,64.6,2544,2155,4.299999999999997,222.0,108.0,60.3,51.62790697674422,25.116279069767458,0.05985725005671605,0.013920290710864206,2024
la pouncho,77900,3407,2931,,77.9,3407,2931,4.6000000000000085,325.0,324.0,73.3,70.65217391304334,70.43478260869553,0.08366054133291455,0.018187074202807477,2024
Roquesalte,43900,1652,1174,,43.9,1652,1174,7.600000000000001,264.0,296.0,36.3,34.73684210526315,38.94736842105262,0.08781390154093156,0.01155446072906994,2024
LA CLAPADE,60300,2322,2047,,60.3,2322,2047,4.099999999999994,177.0,274.0,56.2,43.17073170731713,66.82926829268303,0.05786782541926248,0.014114103760795745,2024
MASSABIAU,28900,1224,687,,28.9,1224,687,6.099999999999998,523.0,50.0,22.8,85.73770491803282,8.196721311475413,0.08385250335933549,0.013746312026120576,2024
La Salvage,56200,2145,1773,11.198611111111113,56.2,2145,1773,8.300000000000004,488.0,156.0,47.9,58.79518072289154,18.795180722891555,0.10645166919707523,0.012825502312900623,2024
Massebiau,70100,2595,2589,,70.1,2595,2589,5.5,51.0,434.0,64.6,9.272727272727273,78.9090909090909,0.055721340942010034,0.01013115289854728,2024
